Radius,radius,Length,S11 at 54MHz,S11 at 66MHz,S11 at 60MHz
2mm,0.002,2.38,-2.49,-4.16,-14.84
4mm,0.004,2.38,-3.32,-4.42,-15.06
8mm,0.008,2.35,-3.89,-5.29,-15.14
16mm,0.016,2.31,-4.69,-6.31,-15.27
20mm,0.02,2.29,-4.92,-6.77,-15.32
24mm,0.024,2.28,-5.32,-6.97,-15.34
32mm,0.032,2.25,-5.72,-7.6,-15.4
37mm,0.037,2.23,-5.86,-8.02,-15.4
50mm,0.05,2.2,-6.58,-8.54,-15.43
