Radius,radius,Length,S11 at 54MHz,S11 at 66MHz,S11 at 60MHz
2mm,0.002,2.38,-2.49,-4.16,-14.84
24mm,0.024,2.28,-5.32,-6.97,-15.34
50mm,0.05,2.2,-6.58,-8.54,-15.43
